Group,d15N,d13C,Time,Age,Sex,Wing,Skull,Net Wt
1,10.22,-11.36,1,0,0,325.00,83.00,1100.00
1,10.37,-11.88,1,1,1,350.00,93.00,1400.00
1,10.44,-10.6,1,1,1,350.00,90.00,1475.00
1,10.52,-11.25,1,0,1,330.00,90.00,1075.00
1,10.19,-11.66,1,1,0,340.00,87.00,1200.00
1,10.45,-10.41,1,0,0,314.00,88.00,1000.00
1,9.91,-10.88,1,0,1,307.00,87.00,825.00
1,11.27,-14.73,1,1,1,348.00,90.00,1375.00
1,9.34,-11.52,1,1,0,330.00,88.00,1150.00
2,11.68,-15.89,93,1,0,350.00,88.00,1275.00
2,12.29,-14.79,93,0,1,341.00,90.00,1200.00
2,11.04,-17.64,93,0,0,318.00,88.00,1125.00
2,11.46,-16.97,93,0,0,339.00,89.00,1300.00
2,11.73,-17.25,93,1,0,329.00,90.00,1275.00
2,12.29,-14.77,93,1,0,340.00,88.00,1200.00
2,11.79,-15.67,93,0,0,324.00,89.00,1200.00
2,11.49,-15.34,93,0,0,320.00,87.00,1200.00
2,11.73,-15.53,93,0,1,330.00,94.00,1500.00
2,11.1,-17.27,93,0,0,306.00,85.00,1150.00
2,11.36,-15.63,93,0,0,335.00,88.00,1325.00
2,12.19,-15.94,93,0,1,325.00,94.00,1350.00
2,11.03,-14.88,93,1,1,348.00,95.00,1475.00
2,11.21,-15.9,93,0,0,332.00,87.00,1175.00
2,10.58,-17.11,93,1,0,325.00,84.00,850.00
2,11.61,-14.93,93,0,1,335.00,91.00,1225.00
2,12.16,-16.26,93,0,0,316.00,86.00,1050.00
2,10.7,-17.5,93,0,0,318.00,86.00,1200.00
2,11.47,-16.37,93,0,1,321.00,91.00,1100.00
2,12.07,-15.21,93,1,0,345.00,87.00,1350.00
2,11.75,-15.43,93,1,0,324.00,86.00,1300.00
2,11.86,-16.54,93,0,0,325.00,92.00,1150.00
2,12.33,-15,93,1,1,347.00,92.00,1500.00
2,12.36,-16.41,93,0,0,311.00,86.00,1150.00
2,11.13,-15.09,93,0,1,324.00,90.00,1350.00
2,10.92,-18.06,93,0,0,316.00,85.00,1250.00
2,12.42,-16.27,93,1,1,345.00,85.00,1475.00
2,10.95,-15.08,93,0,1,320.00,90.00,1325.00
2,12.28,-14.39,93,0,1,328.00,90.00,1375.00
3,11.04,-21.45,124,0,0,339.00,90.00,1425.00
3,10.76,-22.52,124,1,1,323.00,89.00,1350.00
3,10.99,-21.25,124,1,1,346.00,91.00,1525.00
3,10.78,-21.84,124,1,1,341.00,91.00,1450.00
3,11.07,-22.51,124,1,1,346.00,93.00,1525.00
3,10.2,-21.97,124,1,0,345.00,89.00,1060.00
3,11.67,-20.23,124,0,1,310.00,91.00,1200.00
3,7.53,-21.64,124,0,0,312.00,88.00,1110.00
3,10.65,-22.49,124,0,0,306.00,86.00,1100.00
3,10.58,-21.91,124,1,1,355.00,93.00,1400.00
3,11.13,-21.65,124,1,1,342.00,92.00,1340.00
3,7.73,-21.37,124,0,0,311.00,89.00,1100.00
3,10.79,-22.9,124,0,0,304.00,83.00,870.00
3,10.47,-21.13,124,0,0,322.00,89.00,1190.00
3,10.82,-19.33,124,0,0,326.00,88.00,1190.00
3,10.41,-20.29,124,0,1,327.00,91.00,1180.00
3,11.1,-20.56,124,1,0,328.00,86.00,1190.00
3,10.95,-20.87,124,1,0,326.00,84.00,1190.00
3,10.76,-21.07,124,1,1,358.00,92.00,1340.00
3,10.83,-21.69,124,1,1,333.00,88.00,1230.00
3,10.25,-21.17,124,0,0,309.00,86.50,1020.00
3,10.52,-21.74,124,0,0,315.00,86.50,1055.00
3,9.94,-22.69,124,0,1,333.00,90.00,1270.00
3,9.94,-21.06,124,1,1,344.00,92.00,1340.00
3,11.61,-20.42,124,1,0,334.00,90.00,
3,10.65,-21.5,124,0,0,313.00,87.00,1060.00
3,10.76,-20.15,124,0,0,331.00,88.00,1110.00
3,11.11,-21.99,124,1,0,334.00,86.00,1295.00
3,10.2,-22.3,124,1,0,335.00,91.00,1022.00
3,11.27,-21.71,124,0,1,320.00,88.00,1080.00
3,10.21,-22.48,124,1,1,340.00,95.00,1300.00
3,10.88,-21.86,124,0,0,308.00,84.00,920.00
3,11.21,-21.68,124,0,1,324.00,94.00,1100.00
3,11.36,-20.97,124,0,1,334.00,92.50,1150.00
3,10.75,-21.91,124,0,0,334.00,86.50,1185.00
3,12.38,-19.05,124,0,1,329.00,90.50,1100.00
3,11.16,-22.78,124,1,1,340.00,89.00,1225.00
3,11.57,-22.36,124,0,1,329.00,92.00,1115.00
3,10.79,-22.46,124,0,1,323.00,90.00,1170.00
3,11.13,-21.52,124,1,1,344.00,91.00,1270.00
3,10.72,-21.84,124,1,0,330.00,87.00,1155.00
3,10.99,-21.3,124,1,0,331.00,91.00,1230.00
3,10.38,-21.39,124,1,1,349.00,92.00,1200.00
3,10.95,-22.1,124,1,0,332.00,88.00,1260.00
3,10.75,-21.59,124,1,1,359.00,96.50,1400.00
3,10.75,-20.14,124,1,0,325.00,87.00,1240.00
3,11.05,-20.67,124,1,0,331.00,88.50,1250.00
3,10.66,-20.31,124,1,0,329.00,87.00,1130.00
3,10.61,-20.07,124,1,1,345.00,91.00,1345.00
3,10.9,-21.2,124,1,1,340.00,95.00,1300.00
3,11.14,-20.44,124,0,0,310.00,85.00,1020.00
3,10.33,-22.06,124,0,1,326.00,90.00,1165.00
3,10.83,-22.05,124,0,0,312.00,87.00,1020.00
3,10.75,-21.44,124,0,0,316.00,92.00,1005.00
3,9.18,-21.93,124,1,1,343.00,93.00,1590.00
3,9.03,-22.47,124,0,0,322.00,88.50,1320.00
3,9.05,-22.27,124,0,0,317.00,91.00,1295.00
3,8.6,-22.19,124,0,1,331.00,93.00,1470.00
3,8.29,-22.81,124,1,0,331.00,88.00,1375.00
3,10.32,-20.48,124,1,1,346.00,92.00,1400.00
3,10.28,-22.47,124,0,1,326.00,91.00,1100.00
3,6.47,-18.06,124,1,1,365.00,97.00,1510.00
3,11.36,-20.72,124,1,0,359.00,90.00,1430.00
3,10.75,-20.97,124,1,0,332.00,88.00,1210.00
3,11.13,-19.11,124,1,0,331.00,85.00,1300.00
3,11.37,-18.4,124,1,0,331.00,85.00,1140.00
3,10.86,-20.45,124,1,1,351.00,95.00,1410.00
3,10.54,-21.2,124,0,0,323.00,85.00,1170.00
3,10.39,-19.74,124,1,0,326.00,85.00,1080.00
3,10.66,-20.48,124,1,1,361.00,93.00,1400.00
3,9.99,-21.48,124,1,0,336.00,93.50,1230.00
3,11.65,-17.81,124,1,1,339.00,92.50,1350.00
3,11.02,-19.77,124,1,1,350.00,95.00,1360.00
3,10.67,-22.56,124,0,0,316.00,85.00,1040.00
4,8.15,-14.72,398,0,0,315.00,85.00,1250.00
4,11.12,-12.21,398,1,1,356.00,91.00,1560.00
4,10.95,-12.35,398,1,0,326.00,80.00,1320.00
4,11.2,-13.88,398,0,1,330.00,89.00,1165.00
4,10.76,-14.43,398,1,0,351.00,88.80,1315.00
4,11.32,-14.65,398,0,0,340.00,92.70,1340.00
4,10.85,-13.9,398,0,0,324.00,85.90,1065.00
4,11.74,-14.12,398,1,1,347.00,91.20,1340.00
4,10.46,-10.88,398,1,1,348.00,90.70,1590.00
4,10.93,-10.44,398,1,1,341.00,89.20,1490.00
5,12.3,-15.33,428,1,0,325.00,87.60,1300.00
5,10.67,-13.78,428,1,1,330.00,86.90,1250.00
5,11.51,-13.98,428,1,1,350.00,92.60,1650.00
5,10.56,-15.22,428,1,1,322.00,81.90,1150.00
5,12.51,-15.25,428,1,0,324.00,85.40,1350.00
5,13.51,-15.76,428,1,1,333.00,93.70,1450.00
5,11.98,-15.78,428,1,1,330.00,93.50,1450.00
5,12.2,-15.49,428,1,0,333.00,87.00,1350.00
5,10.48,-13.02,428,1,0,317.00,88.70,1350.00
5,12.4,-15.3,428,1,0,326.00,87.00,1100.00
5,13,-15.55,428,1,0,339.00,87.50,1300.00
5,11.36,-14.35,428,1,1,350.00,92.10,1450.00
5,12.08,-14.99,428,1,0,343.00,91.70,1250.00
5,12.39,-14.83,428,1,1,345.00,94.30,1650.00
5,12.28,-16.18,428,1,1,347.00,92.60,1400.00
5,12.6,-15.01,428,1,1,336.00,91.60,1450.00
5,11.3,-12.87,428,1,0,331.00,86.20,1200.00
5,11.1,-14.67,428,1,0,352.00,94.30,1450.00
5,11.42,-13.84,428,1,1,342.00,90.00,1350.00
5,11.49,-14.89,428,1,0,333.00,89.10,1350.00
5,12,-13.33,428,1,1,351.00,95.50,1500.00
5,13.35,-15.04,428,1,1,348.00,90.10,1200.00
5,11.97,-14.29,428,1,1,340.00,91.30,1225.00
5,13.35,-15.62,428,1,0,336.00,87.80,1225.00
5,12.75,-13.99,428,1,1,341.00,89.10,1300.00
5,12.55,-15.06,428,1,0,325.00,86.70,1300.00
5,12.3,-15.06,428,1,1,335.00,94.20,1450.00
5,12.51,-15,428,1,1,327.00,89.50,1350.00
5,12.61,-14.55,428,1,0,312.00,85.50,1150.00
5,10.98,-13.32,428,1,0,322.00,87.50,1250.00
5,11.82,-14.34,428,1,0,310.00,85.00,1100.00
5,12.27,-14.47,428,1,0,314.00,84.80,1150.00
5,12.11,-14.31,428,1,1,323.00,92.00,1350.00
5,12.11,-14.18,428,1,0,340.00,86.20,1350.00
5,12.89,-16.18,428,1,1,351.00,95.00,1350.00
5,12.99,-16.25,428,1,0,,,1100.00
5,12.29,-15.92,428,1,0,330.00,84.00,1130.00
5,11.89,-15.35,428,1,1,345.00,99.00,1410.00
5,12.74,-14.29,428,1,0,317.00,97.50,1250.00
5,12.29,-15.92,428,1,0,324.00,84.00,1220.00
5,11.89,-15.35,428,1,0,330.00,86.50,1150.00
6,10.56,-20.22,459,1,1,355.00,94.00,1500.00
6,9.27,-21.4,459,0,1,336.00,89.00,
6,10.54,-19.97,459,1,0,343.00,87.00,1300.00
6,10.97,-20.78,459,0,1,319.00,90.00,1100.00
6,10.46,-20.61,459,1,1,340.00,87.00,1200.00
6,10.56,-20.58,459,1,0,343.00,84.00,1250.00
6,10.86,-20.19,459,1,0,344.00,89.00,1200.00
6,10.9,-20.71,459,1,1,352.00,91.00,1300.00
6,11.06,-20.59,459,0,0,348.00,93.00,1300.00
6,10.76,-20.09,459,0,0,326.00,87.00,1050.00
6,10.64,-19.37,459,1,1,338.00,87.00,1200.00
6,10.94,-20.41,459,1,0,338.00,87.00,1250.00
6,10.85,-20.84,459,1,0,346.00,88.00,1150.00
6,10.45,-20.75,459,0,0,355.00,85.00,1050.00
6,11.15,-20.29,459,1,0,347.00,91.00,1300.00
6,11.23,-20.89,459,1,0,334.00,87.00,1300.00
6,11.16,-19.69,459,1,0,337.00,89.00,1400.00
6,10.94,-20.41,459,1,1,356.00,91.00,1350.00
6,11.2,-21.24,459,0,0,330.00,87.00,1050.00
6,10.71,-19.33,459,1,1,358.00,92.00,1450.00
7,9.55,-25.87,490,1,1,345.00,94.00,1300.00
7,8.6,-25.4,490,1,1,336.00,92.00,1150.00
7,9.67,-27.23,490,1,1,345.00,98.00,1250.00
7,8.17,-27.52,490,0,1,332.00,90.00,1300.00
7,9.81,-24.55,490,1,0,332.00,89.00,1200.00
7,10.94,-17.36,490,1,0,334.00,89.00,1100.00
7,9.49,-24.7,490,1,0,334.00,89.00,1200.00
7,9.46,-27.76,490,0,1,329.00,95.00,1250.00
7,7.94,-28.92,490,0,1,324.00,91.00,1200.00
7,9.77,-25.98,490,1,1,354.00,95.00,1350.00
7,8.07,-26.77,490,1,0,328.00,88.00,1200.00
7,8.39,-28.76,490,1,0,336.00,89.00,1300.00
7,8.95,-27.7,490,1,1,343.00,93.00,1300.00
7,9.83,-24.75,490,1,0,334.00,87.00,1200.00
7,8.51,-25.47,490,1,1,358.00,90.00,1200.00
7,8.86,-26.58,490,1,1,348.00,92.00,1150.00
7,7.93,-28.94,490,1,1,354.00,92.00,1400.00
7,8,-29.13,490,0,1,327.00,94.00,1200.00
7,8.33,-26.65,490,1,0,332.00,89.00,1200.00
7,8,-28.04,490,1,0,335.00,86.00,1200.00
7,9.39,-27.5,490,0,1,326.00,89.00,1200.00
7,8.01,-29.28,490,1,0,330.00,88.00,1100.00
7,7.59,-27.85,490,0,1,334.00,95.00,1250.00
7,8.26,-27.41,490,1,0,330.00,86.00,1150.00
7,9.49,-27.57,490,0,1,338.00,89.00,1250.00
7,8.23,-29.06,490,0,1,330.00,93.00,1250.00
7,9.1,-25.98,490,1,0,327.00,86.00,1100.00
7,8.21,-28.21,490,1,1,347.00,91.00,1200.00
7,9.59,-25.27,490,0,1,327.00,94.00,1200.00
7,9.37,-14.43,490,1,0,342.00,87.00,1200.00
7,9.47,-27.4,490,1,0,331.00,85.00,1050.00
7,8.6,-27.76,490,0,0,320.00,85.00,1100.00
8,8.23,-28.45,549,0,1,329.00,97.00,1375.00
8,8.39,-27.35,549,1,1,357.00,95.00,1650.00
8,8.24,-28.83,549,1,1,346.00,94.00,1500.00
8,8.34,-29.39,549,1,0,335.00,87.00,1400.00
8,8.36,-28.86,549,1,1,345.00,90.00,1550.00
8,7.22,-28.61,549,0,0,329.00,87.00,1300.00
8,7.13,-29.27,549,0,0,331.00,93.00,1300.00
8,10.64,-20.32,549,1,0,340.00,87.00,1400.00
8,8.06,-28.21,549,1,0,339.00,87.00,1450.00
8,8.22,-26.3,549,1,1,344.00,94.00,1450.00
8,8.92,-28.27,549,1,0,345.00,92.00,1600.00
8,9.35,-27.75,549,1,1,358.00,97.00,1600.00
8,7.32,-28.55,549,0,1,341.00,91.00,1500.00
8,7.66,-27.38,549,1,0,336.00,89.00,1500.00
8,8.09,-29.13,549,1,0,321.00,87.00,1250.00
8,7.3,-28.66,549,1,0,335.00,91.00,1525.00
8,7.33,-29.02,549,1,0,336.00,89.00,1525.00
8,7.33,-26.04,549,1,0,329.00,87.00,1400.00
8,7.36,-26.06,549,1,1,357.00,95.00,1540.00
8,7.49,-28.52,549,1,1,353.00,94.00,1590.00
8,8.07,-28.51,549,1,1,359.00,94.00,1500.00
8,8.84,-27.93,549,1,1,357.00,92.00,1550.00
8,7.93,-29.07,549,1,0,340.00,92.00,1500.00
8,7.94,-28.41,549,1,0,329.00,91.00,1400.00
8,8.74,-26.42,549,1,1,340.00,90.00,1300.00
8,8.26,-27.71,549,1,0,323.00,84.00,1250.00
8,9.63,-27.75,549,1,0,334.00,86.00,1225.00
8,8.85,-24.28,549,1,0,322.00,87.00,1175.00
8,7.55,-28.43,549,1,1,339.00,89.00,1550.00
8,10.05,-25.94,549,1,1,344.00,93.00,1400.00
8,8.23,-28,549,1,1,347.00,93.00,1400.00
8,7.74,-28.59,549,1,1,343.00,94.00,1500.00
8,9.12,-22.61,549,1,0,336.00,89.00,1300.00
8,7.33,-27.34,549,1,0,351.00,93.00,1425.00
8,7.54,-27.35,549,0,0,331.00,94.00,1325.00
8,8.8,-29.14,549,0,0,319.00,96.00,1300.00